doid	cui
DOID:10456	UMLS:C0040425
DOID:10456	UMLS:C0149517
DOID:10457	UMLS:C0023241
DOID:10458	UMLS:C0023240
DOID:10459	UMLS:C0009443
DOID:10460	UMLS:C0027441
DOID:10460	UMLS:C0155826
DOID:10461	UMLS:C0266846
DOID:10471	UMLS:C0158317
DOID:10480	UMLS:C0011981
DOID:10481	UMLS:C0152097
DOID:10485	UMLS:C0014850
DOID:10486	UMLS:C0021828
DOID:10487	UMLS:C0019569
DOID:10488	UMLS:C0003466
DOID:10493	UMLS:C0405580
DOID:10499	UMLS:C0155262
DOID:10507	UMLS:C0152107
DOID:10516	UMLS:C0155395
DOID:10518	UMLS:C0155393
DOID:10519	UMLS:C0155396
DOID:10520	UMLS:C0155392
DOID:10525	UMLS:C0155157
DOID:10533	UMLS:C0032310
DOID:10534	UMLS:C0024623
DOID:10534	UMLS:C0038356
DOID:10534	UMLS:C0153421
DOID:10534	UMLS:C0153422
DOID:10534	UMLS:C0153423
DOID:10536	UMLS:C1334585
DOID:10538	UMLS:C0153420
DOID:10540	UMLS:C0349532
DOID:10541	UMLS:C0349530
DOID:10544	UMLS:C0153418
DOID:10547	UMLS:C0153419
DOID:10548	UMLS:C0153417
DOID:10550	UMLS:C0155429
DOID:10554	UMLS:C0025309
DOID:10556	UMLS:C0157456
DOID:1056	UMLS:C0028860
DOID:10567	UMLS:C0153234
DOID:10567	UMLS:C0276007
DOID:10567	UMLS:C1517744
DOID:10568	UMLS:C0275990
DOID:10568	UMLS:C0275998
DOID:10568	UMLS:C0343834
DOID:10573	UMLS:C0029442
DOID:10575	UMLS:C0006705
DOID:10579	UMLS:C0023520
DOID:10581	UMLS:C0023522
DOID:10582	UMLS:C0034960
DOID:10584	UMLS:C0035334
DOID:10584	UMLS:C0220701
DOID:10587	UMLS:C0023521
DOID:10588	UMLS:C0007795
DOID:10588	UMLS:C0162309
DOID:1059	UMLS:C0025362
DOID:10590	UMLS:C0156664
DOID:10591	UMLS:C0032914
DOID:10593	UMLS:C0154756
DOID:10595	UMLS:C0007959
DOID:106	UMLS:C0041326
DOID:106	UMLS:C0152531
DOID:1060	UMLS:C0018609
DOID:10600	UMLS:C0008701
DOID:10602	UMLS:C0038238
DOID:10603	UMLS:C0271650
DOID:10604	UMLS:C0022951
DOID:10605	UMLS:C0036992
DOID:10606	UMLS:C0005750
DOID:10607	UMLS:C0038054
DOID:10608	UMLS:C0007570
DOID:10609	UMLS:C0035579
DOID:10609	UMLS:C0221468
DOID:10610	UMLS:C0152166
DOID:10611	UMLS:C0033680
DOID:10612	UMLS:C0149526
DOID:10615	UMLS:C0153195
DOID:10616	UMLS:C0269061
DOID:10619	UMLS:C0596869
DOID:1062	UMLS:C0015624
DOID:1062	UMLS:C0341703
DOID:10627	UMLS:C0155291
DOID:10629	UMLS:C0026010
DOID:1063	UMLS:C0027707
DOID:10631	UMLS:C0155295
DOID:10632	UMLS:C0043207
DOID:1064	UMLS:C2931187
DOID:10646	UMLS:C0036363
DOID:10648	UMLS:C0155640
DOID:10649	UMLS:C0155636
DOID:10651	UMLS:C0155627
DOID:10652	UMLS:C0002395
